speaker,emotion,file_id,text,wav_path,npy_path
0011,Neutral,0011_000001,"The nine the eggs, I keep.",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000001.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000001.npy
0011,Neutral,0011_000002,"I did go, and made many prisoners.",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000002.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000002.npy
0011,Neutral,0011_000003,That I owe my thanks to you.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000003.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000003.npy
0011,Neutral,0011_000004,They went up to the dark mass job had pointed out.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000004.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000004.npy
0011,Neutral,0011_000005,Clear than clear water!,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000005.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000005.npy
0011,Neutral,0011_000006,Andy what's the gyre and to gimble.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000006.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000006.npy
0011,Neutral,0011_000007,I'm as bad as I can be.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000007.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000007.npy
0011,Neutral,0011_000008,That was his chief thought.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000008.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000008.npy
0011,Neutral,0011_000009,On the twenty second of last march.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000009.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000009.npy
0011,Neutral,0011_000010,A nauseous draught.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000010.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000010.npy
0011,Neutral,0011_000011,Chapter ten a warm welcome.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000011.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000011.npy
0011,Neutral,0011_000012,Her shoes were like fishes.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000012.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000012.npy
0011,Neutral,0011_000013,I have bunburyed all over goat on two separate occasions.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000013.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000013.npy
0011,Neutral,0011_000014,Annie please please don't hurt me!,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000014.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000014.npy
0011,Neutral,0011_000015,Poor Tom now is dead!,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000015.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000015.npy
0011,Neutral,0011_000016,"Mister share man, I move for a division.",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000016.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000016.npy
0011,Neutral,0011_000017,Why has this egg not broken?,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000017.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000017.npy
0011,Neutral,0011_000018,Then sadly it is much farther.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000018.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000018.npy
0011,Neutral,0011_000019,At the end of four.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000019.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000019.npy
0011,Neutral,0011_000020,At the roots of a bush of a grass.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000020.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000020.npy
0011,Neutral,0011_000021,As rich as Peter's son in law!,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000021.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000021.npy
0011,Neutral,0011_000022,And what are doves. And what are doves.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000022.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000022.npy
0011,Neutral,0011_000023,I thought you meant how old are you?,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000023.wav,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000023.npy
