speaker,emotion,file_id,text,wav_path
0011,Neutral,0011_000201,"A lady, is on Alice's lap!",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000201.wav
0011,Neutral,0011_000202,yeah that sounds good.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000202.wav
0011,Neutral,0011_000203,I was not grabbed.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000203.wav
0011,Neutral,0011_000204,The song is really louding on a gate.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000204.wav
0011,Neutral,0011_000205,Fear neither root nor sprout!,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000205.wav
0011,Neutral,0011_000206,Still you owe it a duty.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000206.wav
0011,Neutral,0011_000207,"What am I, I'm a racer, son of god.",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000207.wav
0011,Neutral,0011_000208,"However, somebody killed something.",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000208.wav
0011,Neutral,0011_000209,A raging fire was in his eyes.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000209.wav
0011,Neutral,0011_000210,It weighs seven point five kilogram.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000210.wav
0011,Neutral,0011_000211,"From each cake, there sprang a huge dog.",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000211.wav
0011,Neutral,0011_000212,No thank you.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000212.wav
0011,Neutral,0011_000213,"Let it give us a chance, my precious.",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000213.wav
0011,Neutral,0011_000214,"But what about this thing, sticky!",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000214.wav
0011,Neutral,0011_000215,He likes dragons very much.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000215.wav
0011,Neutral,0011_000216,well it isn't picked at all.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000216.wav
0011,Neutral,0011_000217,You cruelty shall cost your life !,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000217.wav
0011,Neutral,0011_000218,I'll send for Tom to my boudoir.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000218.wav
0011,Neutral,0011_000219,But the tune isn't his own invention.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000219.wav
0011,Neutral,0011_000220,Her paw went into your eye?,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000220.wav
0011,Neutral,0011_000221,I am a selfish sinner.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000221.wav
0011,Neutral,0011_000222,Ask god to help you.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000222.wav
0011,Neutral,0011_000223,"Pick, pick, pick!",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000223.wav
0011,Neutral,0011_000224,Do you know the lid opens?,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000224.wav
0011,Neutral,0011_000225,Her existence makes him pleasant.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000225.wav
0011,Neutral,0011_000226,And the next day. Nurse will be released.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000226.wav
0011,Neutral,0011_000227,"Born once every one hundred years, dies in flames!",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000227.wav
0011,Neutral,0011_000228,It says no way! shouted Daisy.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000228.wav
0011,Neutral,0011_000229,The first year they sowed rye.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000229.wav
0011,Neutral,0011_000230,Your own wife is not at home.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000230.wav
0011,Neutral,0011_000231,He told me that I ought to change.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000231.wav
0011,Neutral,0011_000232,"Will call her Lili, for short.",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000232.wav
0011,Neutral,0011_000233,Why should i care though David's lips were twitching?,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000233.wav
0011,Neutral,0011_000234,"Hurry up, hurry up!",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000234.wav
0011,Neutral,0011_000235,"If not, I shall go no further.",C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000235.wav
0011,Neutral,0011_000236,How rash you are!,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000236.wav
0011,Neutral,0011_000237,What would they do at the end of the year?,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000237.wav
0011,Neutral,0011_000238,Today isn't an other day.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000238.wav
0011,Neutral,0011_000239,This is the way that snakes always talk.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000239.wav
0011,Neutral,0011_000240,Both side were softly curved.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000240.wav
0011,Neutral,0011_000241,We have showed his shark tooth.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000241.wav
0011,Neutral,0011_000242,Give me your hand or I will cry harder than before.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000242.wav
0011,Neutral,0011_000243,And has you slain him?,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000243.wav
0011,Neutral,0011_000244,Off for the prison ship.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000244.wav
0011,Neutral,0011_000245,Do you think it's a woozle?,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000245.wav
0011,Neutral,0011_000246,We can not do it sir.,C:\Users\JIYA KHANNA\OneDrive\Desktop\tts_emotion\synthetic_audio\0011\Neutral\0011_000246.wav
